inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
LSUJKZXFUURWNK	InChI=1S/C32H46O10/c1-17(34)42-26(2,3)11-10-22(37)30(8,40)24-21(36)14-29(7)28(24,6)15-23(38)31(16-33)19-13-20(35)25(39)27(4,5)18(19)9-12-32(29,31)41/h9-11,19-21,24,33,35-36,40-41H,12-16H2,1-8H3	C32H46O10	1	-220.2451010533115	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C)C1(C)CC(=O)C3(CO)C4CC(C(=O)C(C)(C)C4=CCC23O)O)O)O	0.907999992	""	KEGG Mine
WALAAAFQWRVDEG	InChI=1S/C32H46O10/c1-17(34)42-26(2,3)12-11-22(37)30(8,40)24-18(35)13-28(6)21-10-9-20-27(4,5)25(39)19(36)14-32(20,41)31(21,16-33)23(38)15-29(24,28)7/h9,11-12,18-19,21,24,33,35-36,40-41H,10,13-16H2,1-8H3	C32H46O10	2	-221.0364262813106	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C)C3CC=C4C(C)(C)C(=O)C(CC4(C3(CO)C(=O)CC12C)O)O)O)O	1.29299998	""	KEGG Mine
LXRCVXHMFPMQEW	InChI=1S/C32H46O10/c1-17(35)42-27(2,3)11-10-23(38)30(7,41)25-21(37)13-31(15-33)22-9-8-18-19(12-20(36)26(40)28(18,4)5)32(22,16-34)24(39)14-29(25,31)6/h8,10-11,19-22,25,33-34,36-37,41H,9,12-16H2,1-7H3	C32H46O10	3	-222.05832064847044	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(CO)C3CC=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)CC12C)O)O	0.67900002	""	KEGG Mine
SQNBLKLEZCJOLS	InChI=1S/C32H46O10/c1-17(35)42-27(2,3)11-10-23(38)30(7,41)25-21(37)13-29(6)22-9-8-18-19(12-20(36)26(40)28(18,4)5)32(22,16-34)24(39)14-31(25,29)15-33/h8,10-11,19-22,25,33-34,36-37,41H,9,12-16H2,1-7H3	C32H46O10	4	-222.05832064847044	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C)C3CC=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)CC12CO)O)O	0.67900002	""	KEGG Mine
IZCJJNBWZBROPR	InChI=1S/C32H46O10/c1-16(34)42-27(2,3)10-9-22(38)31(8,41)24-21(37)13-29(6)25-19(35)11-17-18(12-20(36)26(40)28(17,4)5)32(25,15-33)23(39)14-30(24,29)7/h9-11,18-21,24-25,33,35-37,41H,12-15H2,1-8H3	C32H46O10	5	-227.50276718349522	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C)C3C(C=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)CC12C)O)O)O	0.836000025	""	KEGG Mine
MQNPAEQBVQCVIN	InChI=1S/C32H46O10/c1-16(34)42-27(2,3)12-11-22(37)31(8,41)23-20(36)14-29(6)21-10-9-17-18(13-19(35)24(38)28(17,4)5)32(21,15-33)26(40)25(39)30(23,29)7/h9,11-12,18-21,23,25,33,35-36,39,41H,10,13-15H2,1-8H3	C32H46O10	6	-228.90504558742128	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C)C3CC=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)C(C12C)O)O)O	1.47599995	""	KEGG Mine
IHZPPBFPXMOWTO	InChI=1S/C32H46O10/c1-16(34)42-27(2,3)12-11-20(36)31(8,41)25-18(35)13-29(6)19-10-9-17-22(23(38)24(39)26(40)28(17,4)5)32(19,15-33)21(37)14-30(25,29)7/h9,11-12,18-19,22-25,33,35,38-39,41H,10,13-15H2,1-8H3	C32H46O10	7	-230.34781689814787	""	CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C)C3CC=C4C(C(C(C(=O)C4(C)C)O)O)C3(CO)C(=O)CC12C)O)O	1.421	""	KEGG Mine
CTNITURNSKNSRL	InChI=1S/C32H46O10/c1-17(35)42-28(4,15-33)11-10-23(38)31(7,41)25-21(37)13-29(5)22-9-8-18-19(12-20(36)26(40)27(18,2)3)32(22,16-34)24(39)14-30(25,29)6/h8,10-11,19-22,25,33-34,36-37,41H,9,12-16H2,1-7H3	C32H46O10	8	-231.6886298914659	""	CC(=O)OC(C)(C=CC(=O)C(C)(C1C(CC2(C)C3CC=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)CC12C)O)O)CO	0.889999986	""	KEGG Mine
HMYBBLDZYJFJLQ	InChI=1S/C32H46O10/c1-17(35)42-27(2,3)11-10-23(38)32(41,16-34)25-21(37)13-29(6)22-9-8-18-19(12-20(36)26(40)28(18,4)5)31(22,15-33)24(39)14-30(25,29)7/h8,10-11,19-22,25,33-34,36-37,41H,9,12-16H2,1-7H3	C32H46O10	9	-232.6852293970603	""	CC(=O)OC(C)(C)C=CC(=O)C(CO)(C1C(CC2(C)C3CC=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)CC12C)O)O	0.889999986	""	KEGG Mine
WSROKOFPULCTEQ	InChI=1S/C32H46O10/c1-16(34)42-28(4,5)22(37)12-23(38)31(8,41)25-20(36)13-29(6)21-10-9-17-18(11-19(35)26(40)27(17,2)3)32(21,15-33)24(39)14-30(25,29)7/h9,12,18-21,25,33,35-37,41H,10-11,13-15H2,1-8H3	C32H46O10	10	-232.89396661638793	""	CC(=O)OC(C)(C)C(=CC(=O)C(C)(C1C(CC2(C)C3CC=C4C(CC(C(=O)C4(C)C)O)C3(CO)C(=O)CC12C)O)O)O	1.60800004	""	KEGG Mine
