GNPSLinkout_Cluster,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17632"",""main.cluster index_upperinput"":""17632""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=103&task=818684bc2ef44996a6257df861bb9695&show=true,6-Aminocaproic acid,0.999025,11.8738,11.8738,0,CCMSLIB00003468994,7550.314136,172,17632,103,172,132.1021,1,132.1021,7550.314136,"InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2710"",""main.cluster index_upperinput"":""2710""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=446&task=818684bc2ef44996a6257df861bb9695&show=true,L-Citrulline,0.997994,11.65,11.65,0,CCMSLIB00003452889,11678.06472,172,2710,446,172,159.0766,1,159.0766,11678.06472,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""9995"",""main.cluster index_upperinput"":""9995""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,Arg-Ala,0.997279,15.8201,15.8201,0,CCMSLIB00003737524,11360.88659,172,9995,133,172,246.1566,1,246.1566,11360.88659,"InChI=1S/C9H19N5O3/c1-5(8(16)17)14-7(15)6(10)3-2-4-13-9(11)12/h5-6H,2-4,10H2,1H3,(H,14,15)(H,16,17)(H4,11,12,13)/t5-,6-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""75105"",""main.cluster index_upperinput"":""75105""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1497&task=818684bc2ef44996a6257df861bb9695&show=true,"N,N-Diethyl-2-aminoethanol",0.996821,6.6568,6.6568,0,CCMSLIB00003477422,112422.6468,172,75105,1497,172,118.1229,1,118.1229,112422.6468,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""197"",""main.cluster index_upperinput"":""197""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1497&task=818684bc2ef44996a6257df861bb9695&show=true,"N,N-Diethyl-2-aminoethanol",0.996027,6.5806,6.5806,0,CCMSLIB00003477422,99569.3838,172,197,1497,172,118.1229,1,118.1229,99569.3838,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""6202"",""main.cluster index_upperinput"":""6202""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=925&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-L-tyrosine,0.995332,8.728,8.728,0,CCMSLIB00003445292,773.8142203,172,6202,925,172,136.0758,1,136.0758,773.8142203,"InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""37982"",""main.cluster index_upperinput"":""37982""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=925&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-L-tyrosine,0.995332,10.296,10.296,0,CCMSLIB00003445292,1292.889212,172,37982,925,172,136.0763,1,136.0763,1292.889212,"InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""15153"",""main.cluster index_upperinput"":""15153""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,N-.alpha.-Acetyl-L-arginine,0.995194,11.1261,11.1261,0,CCMSLIB00003201654,24036.97502,172,15153,133,172,217.1297,1,217.1297,24036.97502,"InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5086"",""main.cluster index_upperinput"":""5086""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=426&task=818684bc2ef44996a6257df861bb9695&show=true,Cytidine 3'-monophosphate,0.994784,4.2638,4.2638,0,CCMSLIB00003389272,95621.42467,172,5086,426,172,112.0509,1,112.0509,95621.42467,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-6(14)7(4(3-13)19-8)20-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6?,7?,8-/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2855"",""main.cluster index_upperinput"":""2855""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1528&task=818684bc2ef44996a6257df861bb9695&show=true,Nicotine,0.994762,2.1157,2.1157,0,CCMSLIB00003188033,2490.306907,172,2855,1528,172,163.123,1,163.123,2490.306907,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""97653"",""main.cluster index_upperinput"":""97653""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,Arg-Leu,0.994498,11.1474,11.1474,0,CCMSLIB00003736763,8057.760968,172,97653,133,172,288.2033,1,288.2033,8057.760968,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""21"",""main.cluster index_upperinput"":""21""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Tetraethylene glycol,0.99335,1.0063,1.0063,0,CCMSLIB00003441001,690443.9664,172,21,117,172,195.1229,1,195.1229,690443.9664,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""26"",""main.cluster index_upperinput"":""26""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Tetraethylene glycol,0.993149,1.2635,1.2635,0,CCMSLIB00003441001,351427.4946,172,26,117,172,195.1229,1,195.1229,351427.4946,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""27756"",""main.cluster index_upperinput"":""27756""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=818684bc2ef44996a6257df861bb9695&show=true,5'-METHYLTHIOADENOSINE,0.992,1.7029,1.7029,0,CCMSLIB00000577895,94972.99927,172,27756,3,172,298.0973,1,298.0973,94972.99927,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""169"",""main.cluster index_upperinput"":""169""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=818684bc2ef44996a6257df861bb9695&show=true,5'-METHYLTHIOADENOSINE,0.991162,1.7714,1.7714,0,CCMSLIB00000577895,103918.811,172,169,3,172,298.0973,1,298.0973,103918.811,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5163"",""main.cluster index_upperinput"":""5163""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=133&task=818684bc2ef44996a6257df861bb9695&show=true,L-ARGININE,0.990965,18.3405,18.3405,0,CCMSLIB00000577958,3207.587665,172,5163,133,172,175.1191,1,175.1191,3207.587665,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""864"",""main.cluster index_upperinput"":""864""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=120&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-L-glutamine,0.99035,7.593,7.593,0,CCMSLIB00003385702,8939.134324,172,864,120,172,189.087,1,189.087,8939.134324,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""2244"",""main.cluster index_upperinput"":""2244""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=446&task=818684bc2ef44996a6257df861bb9695&show=true,N.alpha.-Acetyl-L-lysine,0.989365,10.716,10.716,0,CCMSLIB00003191972,13031.93226,172,2244,446,172,189.1235,1,189.1235,13031.93226,"InChI=1S/C8H16N2O3/c1-6(11)10-7(8(12)13)4-2-3-5-9/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""14963"",""main.cluster index_upperinput"":""14963""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=446&task=818684bc2ef44996a6257df861bb9695&show=true,L-Citrulline,0.98895,11.7905,11.7905,0,CCMSLIB00003452889,7101.970093,172,14963,446,172,159.0766,1,159.0766,7101.970093,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""114411"",""main.cluster index_upperinput"":""114411""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=120&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-L-glutamine,0.988146,7.9863,7.9863,0,CCMSLIB00003385702,14574.74602,172,114411,120,172,189.087,1,189.087,14574.74602,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""80719"",""main.cluster index_upperinput"":""80719""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=818684bc2ef44996a6257df861bb9695&show=true,Tetraethylene glycol,0.988055,1.054,1.054,0,CCMSLIB00003441001,1230.131733,172,80719,117,172,195.1492,1,195.1492,1230.131733,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=818684bc2ef44996a6257df861bb9695&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""410"",""main.cluster index_upperinput"":""410""}",https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=120&task=818684bc2ef44996a6257df861bb9695&show=true,N-Acetyl-L-glutamine,0.98704,8.6131,8.6131,0,CCMSLIB00003385702,12331.94241,172,410,120,172,189.087,1,189.087,12331.94241,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1"
