GNPSLinkout_Cluster,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,cluster index,componentindex,number of spectra,parent mass,precursor charge,precursor mass,sum(precursor intensity),INCHI
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""13402"",""main.cluster index_upperinput"":""13402""}",N-ACETYL-DL-GLUTAMIC ACID,0.999259,0.617,0.617,0,CCMSLIB00000578260,90813.11596,132,13402,64,132,-186.0561,-1,188.0561,90813.11596,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""45299"",""main.cluster index_upperinput"":""45299""}",N-ACETYL-DL-GLUTAMIC ACID,0.999235,0.6125,0.6125,0,CCMSLIB00000578260,91260.45689,132,45299,64,132,-186.0561,-1,188.0561,91260.45689,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""17"",""main.cluster index_upperinput"":""17""}",fructose,0.979727,0.3404,0.3404,0,CCMSLIB00000081794,114611.2998,132,17,498,132,-177.0557,-1,179.0557,114611.2998, 
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""820"",""main.cluster index_upperinput"":""820""}",Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,0.976404,6.1113,6.1113,0,CCMSLIB00003137341,4776.219288,132,820,67,132,-450.2777,-1,452.2777,4776.219288,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""1041"",""main.cluster index_upperinput"":""1041""}",D-PANTOTHENIC ACID,0.976249,2.1591,2.1591,0,CCMSLIB00000578264,39160.96064,131,1041,185,131,218.1029,1,218.1029,39160.96064,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""4099"",""main.cluster index_upperinput"":""4099""}",Pro-Trp,0.96471,2.6496,2.6496,0,CCMSLIB00003732727,4074.06982,129,4099,244,129,-298.1348,-1,300.1348,4074.06982,"InChI=1S/C16H19N3O3/c20-15(13-6-3-7-17-13)19-14(16(21)22)8-10-9-18-12-5-2-1-4-11(10)12/h1-2,4-5,9,13-14,17-18H,3,6-8H2,(H,19,20)(H,21,22)/t13-,14+/m1/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5535"",""main.cluster index_upperinput"":""5535""}",Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14,0.961444,6.2377,6.2377,0,CCMSLIB00003138496,4970.029628,122,5535,67,122,-476.2933,-1,478.2933,4970.029628,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""480"",""main.cluster index_upperinput"":""480""}",N-Acetyl-L-tyrosine,0.958073,2.3953,2.3953,0,CCMSLIB00003445306,11894.15623,131,480,-1,131,222.0768,1,222.0768,11894.15623,"InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5303"",""main.cluster index_upperinput"":""5303""}",DETHIOBIOTIN,0.951064,3.0368,3.0368,0,CCMSLIB00000578342,13281.51221,130,5303,310,130,-211.1242,-1,213.1242,13281.51221,N/A
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5398"",""main.cluster index_upperinput"":""5398""}",Tyr-Trp,0.941816,2.7867,2.7867,0,CCMSLIB00003732912,4647.65417,128,5398,244,128,-364.1453,-1,366.1453,4647.65417,"InChI=1S/C20H21N3O4/c21-16(9-12-5-7-14(24)8-6-12)19(25)23-18(20(26)27)10-13-11-22-17-4-2-1-3-15(13)17/h1-8,11,16,18,22,24H,9-10,21H2,(H,23,25)(H,26,27)/t16-,18-/m0/s1"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""70"",""main.cluster index_upperinput"":""70""}",PYROCATECHUIC ACID,0.939201,2.6061,2.6061,0,CCMSLIB00004693946,336586.0907,132,70,24,132,-151.0191,-1,153.0191,336586.0907,"InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)"
"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ade9a67e32c74fc9b384aae0782c055d&view=view_all_clusters_withID&show=true#{""main.cluster index_lowerinput"":""5364"",""main.cluster index_upperinput"":""5364""}",Tyr-Leu,0.916023,2.5464,2.5464,0,CCMSLIB00003735537,8389.051111,129,5364,244,129,-291.1502,-1,293.1502,8389.051111,"InChI=1S/C15H22N2O4/c1-9(2)7-13(15(20)21)17-14(19)12(16)8-10-3-5-11(18)6-4-10/h3-6,9,12-13,18H,7-8,16H2,1-2H3,(H,17,19)(H,20,21)/t12-,13-/m0/s1"
