inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
SNEUESVUCXZKOU	InChI=1S/C17H19N6O5P/c18-15-12-16(20-8-19-15)23(9-21-12)17-13(24)14-11(27-17)7-26-29(25,28-14)22-6-10-4-2-1-3-5-10/h1-5,8-9,11,13-14,17,24H,6-7H2,(H,22,25)(H2,18,19,20)	C17H19N6O5P	1	-2980.3879104342077	(2S,4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-(benzylamino)-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol	C1=CC=C(C=C1)CNP2(=O)OCC3C(C(C(N4C=NC5=C4N=CN=C5N)O3)O)O2	-0.453000009	""	PubChem:(21764236 21764237 101611818)
LKXQLJPKEOGAIR	InChI=1S/C16H21N2O8P/c1-2-3-4-8-24-27(22,23)25-10-12-13(19)14(20)16(26-12)18-7-5-6-11(9-18)15(17)21/h1,5-7,9,12-14,16,19-20H,3-4,8,10H2,(H2-,17,21,22,23)	C16H21N2O8P	2	-3006.763310471701	""	C#CCCCOP(=O)([O-])OCC1C(C(C([N+]2=CC(=CC=C2)C(=N)O)O1)O)O	0.294	""	PubChem:(44184338 44184339)
ABFNNDSDBBUILZ	InChI=1S/C16H21N2O8P/c1-10-7-17(14-6-12(19)13(26-14)9-25-27(22,23)24)16(21)18(15(10)20)8-11-4-2-3-5-11/h2-4,7,12-14,19H,5-6,8-9H2,1H3,(H2,22,23,24)	C16H21N2O8P	3	-3030.400741419228	""	CC1=CN(C2CC(C(COP(=O)(O)O)O2)O)C(=O)N(CC3=CC=CC3)C1=O	-2.09699988	""	PubChem:(102072595)
KLCDZSPNTBQYTR	InChI=1S/C16H23N2O9P/c1-2-3-4-5-6-9-7-18(16(23)17-14(9)22)15-12(21)11(20)13(27-15)10(19)8-28(24,25)26/h7,10-13,15,19-21H,2-4,8H2,1H3,(H,17,22,23)(H2,24,25,26)	C16H23N2O9P	4	-3050.647185112575	""	CCCCC#CC1=CN(C2C(C(C(C(CP(=O)(O)O)O)O2)O)O)C(=O)N=C1O	-0.654999971	""	PubChem:(90671495)
AIARZMRJDAMOCC	InChI=1S/C16H23N2O9P/c1-16(2,3)5-4-8-6-18(15(23)17-13(8)22)14-11(21)10(20)12(27-14)9(19)7-28(24,25)26/h6,9-12,14,19-21H,7H2,1-3H3,(H,17,22,23)(H2,24,25,26)	C16H23N2O9P	5	-3051.4153448619295	""	CC(C)(C)C#CC1=CN(C2C(C(C(C(CP(=O)(O)O)O)O2)O)O)C(=O)N=C1O	-0.876999974	""	PubChem:(90671497)
ABKNTSLYPDCAEM	InChI=1S/C14H28O10P2/c1-5-19-25(17,20-6-2)23-13(15)11-9-10-12-14(16)24-26(18,21-7-3)22-8-4/h5-12H2,1-4H3	C14H28O10P2	6	-3067.0316158010455	""	CCOP(=O)(OCC)OC(=O)CCCCC(=O)OP(=O)(OCC)OCC	0.920000017	""	PubChem:(53633999)
AFSCUXSNEKUPCY	InChI=1S/C14H28O10P2/c1-12(2)14(15)23-13(24-26(19,20)21)10-8-6-4-3-5-7-9-11-22-25(16,17)18/h13H,1,3-11H2,2H3,(H2,16,17,18)(H2,19,20,21)	C14H28O10P2	7	-3073.913968045755	""	C=C(C)C(=O)OC(CCCCCCCCCOP(=O)(O)O)OP(=O)(O)O	0.720000029	""	PubChem:(87463634)
OKTPDGBIBGDKJX	InChI=1S/C16H23N2O9P/c1-23-11-7-13(27-12(11)9-26-28(4,22)25-3)18-8-10(5-6-14(19)24-2)15(20)17-16(18)21/h5-6,8,11-13H,7,9H2,1-4H3,(H,17,20,21)	C16H23N2O9P	8	-3074.561806647415	""	COC1CC(N2C=C(C=CC(=O)OC)C(=NC2=O)O)OC1COP(=O)(C)OC	-0.680000007	""	PubChem:(117931346)
XLKJYBPYDHDCRL	InChI=1S/C14H28O10P2/c1-7-19-25(17,20-8-2)13(15)23-11(5)12(6)24-14(16)26(18,21-9-3)22-10-4/h11-12H,7-10H2,1-6H3	C14H28O10P2	9	-3076.305797417045	""	CCOP(=O)(C(=O)OC(C)C(C)OC(=O)P(=O)(OCC)OCC)OCC	0.865999997	""	PubChem:(122649359)
WSFUAPRQFJCWMC	InChI=1S/C16H21N2O8P/c1-9(2)13(19)17-6-3-7-18-14(20)11-10-4-5-16(26-10,12(11)15(18)21)8-25-27(22,23)24/h4-5,10,20-21H,1,3,6-8H2,2H3,(H,17,19)(H2,22,23,24)	C16H21N2O8P	10	-3077.137088704769	""	C=C(C)C(=NCCCN1C(=C2C3C=CC(COP(=O)(O)O)(C2=C1O)O3)O)O	-0.377000004	""	PubChem:(123819548)
