A,f.value,p.value,#NAME?,FDR,Fisher's LSD
2-aminoisobutyric acid/2-AMINO-2-METHYLPROPANOATE_neg,346.87,2.11E-36,35.676,1.05E-34,Cv - Bt; Ps - Bt; Cv - Ps
2-aminoisobutyric acid/2-AMINO-2-METHYLPROPANOATE_pos,0.086219,0.91749,0.037397,0.91749,Cv - Bt; Ps - Bt; Cv - Ps
2-Hydroxycinnamic acid/4-COUMARATE,75.43,5.49E-18,17.26,2.60E-17,Cv - Bt; Ps - Bt; Cv - Ps
2-HYDROXYPYRIDINE,1.2474,0.29374,0.53204,0.32656,Bt - Cv; Bt - Ps; Cv - Ps
2-OXOADIPATE,31.251,2.37E-10,9.6258,5.74E-10,Bt - Cv; Ps - Bt; Ps - Cv
2-OXOBUTANOATE/ACETOACETATE,109.47,5.50E-22,21.26,4.38E-21,Bt - Cv; Bt - Ps; Ps - Cv
2-Oxovaleric acid,104.38,1.88E-21,20.726,1.38E-20,Bt - Cv; Ps - Bt; Ps - Cv
"2,3-DIHYDROXYBENZOATE/2,5-DIHYDROXYBENZOATE",100.58,4.84E-21,20.315,3.32E-20,Cv - Bt; Ps - Bt; Cv - Ps
2'-DEOXYGUANOSINE_neg,65.185,1.55E-16,15.809,7.19E-16,Cv - Bt; Ps - Bt; Ps - Cv
2'-DEOXYGUANOSINE_pos,35.671,2.55E-11,10.593,6.77E-11,Cv - Bt; Ps - Bt; Ps - Cv
3-AMINO-4-HYDROXYBENZOIC ACID/3-AMINO-5-HYDROXYBENZOIC ACID,32.921,1.00E-10,9.9988,2.53E-10,Cv - Bt; Ps - Bt; Cv - Ps
3-AMINOISOBUTANOATE,34.387,4.80E-11,10.319,1.26E-10,Bt - Cv; Bt - Ps; Ps - Cv
3-dehydroshikimate,4.6386,0.012929,1.8885,0.017152,Cv - Bt; Bt - Ps; Cv - Ps
3-HYDROXYANTHRANILATE,19.894,1.58E-07,6.802,2.99E-07,Cv - Bt; Bt - Ps; Cv - Ps
3-METHOXY-4-HYDROXYMANDELATE,0.98468,0.37882,0.42157,0.40918,Bt - Cv; Ps - Bt; Ps - Cv
3-METHYLADENINE,57.112,2.78E-15,14.555,1.13E-14,Bt - Cv; Bt - Ps; Ps - Cv
"3,4-DIHYDROXYBENZOATE",19.624,1.87E-07,6.7278,3.48E-07,Cv - Bt; Ps - Bt; Cv - Ps
"3,4-Dihydroxyphenylglycol",9.8813,0.00017091,3.7672,0.00026572,Bt - Cv; Bt - Ps; Cv - Ps
4-ACETAMIDOBUTANOATE,39.346,4.44E-12,11.352,1.26E-11,Cv - Bt; Ps - Bt; Cv - Ps
4-AMINOBENZOATE/ANTHRANILATE,110.49,4.32E-22,21.364,3.59E-21,Bt - Cv; Bt - Ps; Cv - Ps
4-AMINOBUTANOATE/Y-Aminobutyric acid,188.8,1.74E-28,27.759,2.67E-27,Cv - Bt; Ps - Bt; Cv - Ps
4-GUANIDINOBUTANOATE,21.627,5.38E-08,7.2695,1.05E-07,Cv - Bt; Ps - Bt; Ps - Cv
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID_neg,41.834,1.43E-12,11.845,4.44E-12,Bt - Cv; Bt - Ps; Ps - Cv
4-HYDROXY-2-QUINOLINECARBOXYLIC ACID_pos,4.6224,0.013114,1.8823,0.017283,Bt - Cv; Bt - Ps; Cv - Ps
4-HYDROXYBENZOATE,146.89,2.08E-25,24.682,2.59E-24,Cv - Bt; Bt - Ps; Cv - Ps
4-HYDROXYPHENYLACETATE/MANDELIC ACID,3.6046,0.032514,1.4879,0.040694,Cv - Bt; Ps - Bt; Ps - Cv
4-IMIDAZOLEACETIC ACID,0.72849,0.48636,0.31304,0.5041,Cv - Bt; Ps - Bt; Cv - Ps
4-METHYL-2-OXOVALERIC ACID/3-METHYL-2-OXOVALERIC ACID,83.565,4.79E-19,18.319,2.51E-18,Cv - Bt; Ps - Bt; Ps - Cv
4-PYRIDOXATE_neg,259.31,1.52E-32,31.819,4.31E-31,Bt - Cv; Bt - Ps; Cv - Ps
4-PYRIDOXATE_pos,118.39,7.07E-23,22.151,7.04E-22,Bt - Cv; Bt - Ps; Cv - Ps
5-Aminopentanoate,48.404,8.47E-14,13.072,2.91E-13,Cv - Bt; Ps - Bt; Cv - Ps
5-OXO-L-PROLINE_neg,105.57,1.40E-21,20.853,1.07E-20,Bt - Cv; Bt - Ps; Ps - Cv
5-OXO-L-PROLINE_pos,12.786,1.93E-05,4.7135,3.18E-05,Cv - Bt; Ps - Bt; Cv - Ps
"5,6-DIHYDROURACIL",6.9001,0.0018693,2.7283,0.002657,Cv - Bt; Ps - Bt; Ps - Cv
5'-METHYLTHIOADENOSINE_neg,49.87,4.65E-14,13.332,1.71E-13,Cv - Bt; Bt - Ps; Cv - Ps
5'-METHYLTHIOADENOSINE_pos,36.159,2.01E-11,10.696,5.48E-11,Cv - Bt; Bt - Ps; Cv - Ps
6-CARBOXYHEXANOATE,41.002,2.08E-12,11.682,6.27E-12,Bt - Cv; Bt - Ps; Ps - Cv
Acetylcysteine_neg,40.629,2.46E-12,11.609,7.21E-12,Cv - Bt; Ps - Bt; Cv - Ps
Acetylcysteine_pos,95.902,1.61E-20,19.793,9.72E-20,Cv - Bt; Ps - Bt; Cv - Ps
ADENINE_neg,11.198,6.25E-05,4.2038,9.88E-05,Bt - Cv; Bt - Ps; Cv - Ps
ADENINE_pos,12.542,2.31E-05,4.6363,3.77E-05,Bt - Cv; Bt - Ps; Cv - Ps
ADENOSINE 5'-MONOPHOSPHATE_neg,30.276,3.95E-10,9.4035,9.36E-10,Bt - Cv; Ps - Bt; Ps - Cv
ADENOSINE 5'-MONOPHOSPHATE_pos,35.897,2.28E-11,10.641,6.14E-11,Cv - Bt; Ps - Bt; Ps - Cv
ADENOSINE_neg,39.885,3.46E-12,11.461,9.99E-12,Cv - Bt; Ps - Bt; Cv - Ps
ADENOSINE_pos,33.716,6.71E-11,10.173,1.71E-10,Cv - Bt; Ps - Bt; Cv - Ps
ADIPIC ACID,0.76957,0.46721,0.33049,0.48677,Bt - Cv; Bt - Ps; Ps - Cv
ALLANTOIN,116.84,1.00E-22,21.999,9.50E-22,Bt - Cv; Ps - Bt; Ps - Cv
ALPHA-AMINOADIPATE_neg,0.94487,0.39377,0.40475,0.4213,Cv - Bt; Bt - Ps; Cv - Ps
ALPHA-AMINOADIPATE_pos,1.4579,0.23991,0.61994,0.26973,Bt - Cv; Bt - Ps; Cv - Ps
ALPHA-KETOGLUTARIC ACID_neg,26.335,3.40E-09,8.469,7.27E-09,Cv - Bt; Ps - Bt; Ps - Cv
ALPHA-KETOGLUTARIC ACID_pos,22.179,3.84E-08,7.4151,7.73E-08,Cv - Bt; Ps - Bt; Ps - Cv
AZELAIC ACID,0.80701,0.45042,0.34638,0.47175,Bt - Cv; Bt - Ps; Ps - Cv
BENZOATE,5.0524,0.0090007,2.0457,0.012021,Cv - Bt; Bt - Ps; Cv - Ps
BUTANAL,4.022,0.02234,1.6509,0.028498,Bt - Cv; Ps - Bt; Ps - Cv
CHOLINE,44.52,4.37E-13,12.359,1.43E-12,Cv - Bt; Ps - Bt; Cv - Ps
Choline O-Sulfate,2.6474,0.078133,1.1072,0.094233,Cv - Bt; Ps - Bt; Ps - Cv
CITRULLINE_neg,29.194,7.04E-10,9.1526,1.59E-09,Cv - Bt; Bt - Ps; Cv - Ps
CITRULLINE_pos,15.92,2.13E-06,5.6709,3.66E-06,Cv - Bt; Bt - Ps; Cv - Ps
CREATINE,0.98041,0.3804,0.41976,0.40918,Bt - Cv; Bt - Ps; Ps - Cv
CREATININE,24.062,1.25E-08,7.902,2.54E-08,Bt - Cv; Ps - Bt; Ps - Cv
Cyclic AMP,40.645,2.44E-12,11.612,7.21E-12,Bt - Cv; Ps - Bt; Ps - Cv
CYTIDINE,32.767,1.08E-10,9.9648,2.70E-10,Cv - Bt; Ps - Bt; Cv - Ps
CYTOSINE_neg,125.34,1.55E-23,22.809,1.82E-22,Cv - Bt; Ps - Bt; Cv - Ps
CYTOSINE_pos,217.21,2.95E-30,29.531,5.86E-29,Cv - Bt; Ps - Bt; Cv - Ps
D--GLUCOSAMINE/D--GALACTOSAMINE,1.0209,0.36572,0.43686,0.39988,Bt - Cv; Bt - Ps; Cv - Ps
D-GLUCONATE,41.131,1.96E-12,11.708,6.00E-12,Bt - Cv; Bt - Ps; Ps - Cv
"D-GLUCONO-1,5-LACTONE_neg",83.698,4.61E-19,18.336,2.48E-18,Bt - Cv; Ps - Bt; Ps - Cv
"D-GLUCONO-1,5-LACTONE_pos",3.1914,0.047341,1.3248,0.058153,Cv - Bt; Ps - Bt; Ps - Cv
D-GLYCERIC ACID,3.7936,0.02742,1.5619,0.034535,Bt - Cv; Ps - Bt; Ps - Cv
D-Lactose/D--TREHALOSE/maltose_neg,1.0041,0.37174,0.42976,0.40424,Bt - Cv; Ps - Bt; Ps - Cv
D-Lactose/D--TREHALOSE/maltose_pos,0.86378,0.42614,0.37045,0.45107,Bt - Cv; Bt - Ps; Ps - Cv
D-PANTOTHENIC ACID_neg,114.13,1.85E-22,21.732,1.60E-21,Cv - Bt; Ps - Bt; Ps - Cv
D-PANTOTHENIC ACID_pos,20.569,1.03E-07,6.9858,1.98E-07,Bt - Cv; Ps - Bt; Ps - Cv
DEOXYCYTIDINE,335.1,6.13E-36,35.213,2.44E-34,Cv - Bt; Ps - Bt; Ps - Cv
DEOXYURIDINE,229.49,5.81E-31,30.236,1.45E-29,Cv - Bt; Ps - Bt; Ps - Cv
DETHIOBIOTIN_neg,189.77,1.50E-28,27.823,2.49E-27,Cv - Bt; Ps - Bt; Ps - Cv
DETHIOBIOTIN_pos,221.73,1.61E-30,29.794,3.55E-29,Cv - Bt; Ps - Bt; Ps - Cv
DIACETYL,2.0875,0.13187,0.87985,0.1553,Bt - Cv; Bt - Ps; Cv - Ps
DIETHANOLAMINE,0.155,0.85671,0.067164,0.86541,Cv - Bt; Ps - Bt; Ps - Cv
Ectoine,207.97,1.05E-29,28.977,1.91E-28,Bt - Cv; Bt - Ps; Ps - Cv
ERYTHRITOL,173.08,2.10E-27,26.679,2.78E-26,Bt - Cv; Ps - Bt; Ps - Cv
FUMARATE,115.48,1.36E-22,21.866,1.23E-21,Cv - Bt; Bt - Ps; Cv - Ps
GLUTARIC ACID/MONO-ETHYL MALONATE,5.9452,0.0041734,2.3795,0.0057276,Cv - Bt; Ps - Bt; Ps - Cv
GLYCERALDEHYDE/S-Lactate,24.632,8.99E-09,8.0464,1.86E-08,Bt - Cv; Bt - Ps; Ps - Cv
GLYCEROL 2-PHOSPHATE/SN-GLYCEROL 3-PHOSPHATE,29.624,5.59E-10,9.2528,1.31E-09,Cv - Bt; Ps - Bt; Ps - Cv
GUANIDINOACETATE,6.703,0.0022028,2.657,0.003087,Bt - Cv; Bt - Ps; Cv - Ps
GUANINE_neg,8.6939,0.00043437,3.3621,0.00064507,Bt - Cv; Bt - Ps; Cv - Ps
GUANINE_pos,3.962,0.023573,1.6276,0.029879,Bt - Cv; Bt - Ps; Cv - Ps
GUANOSINE,55.205,5.71E-15,14.243,2.19E-14,Cv - Bt; Ps - Bt; Cv - Ps
"GUANOSINE 3',5'-CMP_neg",25.018,7.19E-09,8.1431,1.51E-08,Cv - Bt; Bt - Ps; Cv - Ps
"GUANOSINE 3',5'CMP_pos",29.377,6.38E-10,9.1953,1.46E-09,Cv - Bt; Bt - Ps; Cv - Ps
HEXANOATE,1.9018,0.15716,0.80366,0.18289,Cv - Bt; Ps - Bt; Cv - Ps
HIPPURATE,417.66,6.41E-39,38.193,6.37E-37,Bt - Cv; Bt - Ps; Cv - Ps
HOMOSERINE,21.629,5.37E-08,7.2699,1.05E-07,Cv - Bt; Ps - Bt; Cv - Ps
HOMOSERINE/L-ALLOTHREONINE/L-Threonine_neg,44.329,4.75E-13,12.323,1.53E-12,Cv - Bt; Bt - Ps; Cv - Ps
HOMOSERINE/L-ALLOTHREONINE/L-Threonine_pos,30.886,2.86E-10,9.543,6.87E-10,Cv - Bt; Ps - Bt; Cv - Ps
Hydroxyphenyllactic acid,123.02,2.56E-23,22.592,2.83E-22,Cv - Bt; Ps - Bt; Ps - Cv
HYDROXYPYRUVATE,9.656,0.0002036,3.6912,0.00031166,Bt - Cv; Bt - Ps; Ps - Cv
HYPOXANTHINE_neg,59.163,1.31E-15,14.884,5.42E-15,Cv - Bt; Ps - Bt; Ps - Cv
HYPOXANTHINE_pos,45.386,3.01E-13,12.521,9.99E-13,Cv - Bt; Ps - Bt; Cv - Ps
INDOLE-3-ACETAMIDE_neg,21.967,4.37E-08,7.3593,8.70E-08,Cv - Bt; Ps - Bt; Ps - Cv
INDOLE-3-ACETAMIDE_pos,56.19,3.93E-15,14.405,1.57E-14,Cv - Bt; Ps - Bt; Ps - Cv
INDOLE-3-PYRUVIC ACID,98.024,9.29E-21,20.032,5.97E-20,Bt - Cv; Ps - Bt; Ps - Cv
INOSINE_neg,12.048,3.32E-05,4.4788,5.33E-05,Cv - Bt; Bt - Ps; Cv - Ps
INOSINE_pos,49.396,5.64E-14,13.249,2.04E-13,Cv - Bt; Ps - Bt; Cv - Ps
Isonicotinic acid/Niacin_neg,28.502,1.02E-09,8.99,2.29E-09,Bt - Cv; Ps - Bt; Ps - Cv
Isonicotinic acid/Niacin_pos,7.1099,0.0015707,2.8039,0.0022815,Bt - Cv; Ps - Bt; Ps - Cv
L-ALANINE/BETA-ALANINE_neg,2.9636,0.058337,1.2341,0.070787,Bt - Cv; Ps - Bt; Ps - Cv
L-ALANINE/BETA-ALANINE_pos,2.4009,0.098278,1.0075,0.11782,Cv - Bt; Ps - Bt; Cv - Ps
L-ARGININE,8.9107,0.00036563,3.437,0.00054707,Bt - Cv; Bt - Ps; Ps - Cv
L-ASPARTATE,2.0874,0.13189,0.8798,0.1553,Cv - Bt; Ps - Bt; Ps - Cv
L-CARNITINE,3.2615,0.044407,1.3526,0.054888,Cv - Bt; Ps - Bt; Ps - Cv
L-Dihydroorotic acid,9.3906,0.00025051,3.6012,0.00038055,Cv - Bt; Ps - Bt; Ps - Cv
L-GLUTAMIC ACID,9.7245,0.00019303,3.7144,0.00029778,Cv - Bt; Ps - Bt; Ps - Cv
L-GLUTAMIC ACID/N-METHYL-D-ASPARTIC ACID,5.3889,0.0067233,2.1724,0.0090401,Cv - Bt; Ps - Bt; Ps - Cv
L-GLUTAMINE,18.08,5.05E-07,6.2964,8.98E-07,Bt - Cv; Ps - Bt; Ps - Cv
L-HISTIDINOL_neg,5.8338,0.004589,2.3383,0.0062549,Cv - Bt; Ps - Bt; Cv - Ps
L-HISTIDINOL_pos,11.108,6.69E-05,4.1745,0.00010485,Cv - Bt; Ps - Bt; Cv - Ps
L-HOMOCYSTEINE THIOLACTONE,62.804,3.55E-16,15.45,1.53E-15,Bt - Cv; Ps - Bt; Ps - Cv
L-ISOLEUCINE,1.5397,0.22182,0.65401,0.2508,Bt - Cv; Ps - Bt; Ps - Cv
L-LYSINE,3.006,0.056106,1.251,0.068498,Bt - Cv; Bt - Ps; Ps - Cv
L-ORNITHINE,0.32786,0.7216,0.1417,0.7364,Cv - Bt; Ps - Bt; Cv - Ps
L-PHENYLALANINE_neg,4.2212,0.018705,1.7281,0.02417,Cv - Bt; Ps - Bt; Ps - Cv
L-PHENYLALANINE_pos,3.5538,0.034043,1.468,0.042341,Cv - Bt; Ps - Bt; Ps - Cv
L-SERINE_neg,2.2556,0.1126,0.94847,0.13417,Bt - Cv; Ps - Bt; Ps - Cv
L-SERINE_pos,0.80741,0.45024,0.34656,0.47175,Bt - Cv; Ps - Bt; Ps - Cv
L-TRYPTOPHAN,18.307,4.36E-07,6.3607,7.88E-07,Cv - Bt; Ps - Bt; Ps - Cv
L-TYROSINE,15.547,2.75E-06,5.5605,4.68E-06,Bt - Cv; Ps - Bt; Ps - Cv
LEUCINE/NORLEUCINE_neg,7.0679,0.0016263,2.7888,0.0023452,Bt - Cv; Bt - Ps; Cv - Ps
LEUCINE/NORLEUCINE_pos,6.2198,0.0033062,2.4807,0.004569,Bt - Cv; Bt - Ps; Ps - Cv
Lumazine,47.847,1.07E-13,12.972,3.60E-13,Bt - Cv; Bt - Ps; Cv - Ps
LUMICHROME_neg,8.6395,0.00045358,3.3433,0.00066861,Cv - Bt; Ps - Bt; Ps - Cv
LUMICHROME_pos,13.669,1.02E-05,4.9896,1.71E-05,Cv - Bt; Ps - Bt; Cv - Ps
MALEIC ACID,1.7386,0.18348,0.73641,0.21106,Cv - Bt; Bt - Ps; Cv - Ps
malic acid,7.059,0.0016383,2.7856,0.0023454,Bt - Cv; Bt - Ps; Cv - Ps
MALONATE,393.61,4.12E-38,37.385,2.73E-36,Bt - Cv; Bt - Ps; Ps - Cv
methionine,8.3074,0.00059175,3.2279,0.00086587,Cv - Bt; Ps - Bt; Ps - Cv
METHYL VANILLATE,1.5884,0.21173,0.67421,0.24077,Cv - Bt; Bt - Ps; Cv - Ps
MYRISTIC ACID,1.6721,0.19547,0.70891,0.22356,Cv - Bt; Bt - Ps; Cv - Ps
