"","ID","Label","source"
"1",13340,"(1S,8R,9R)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid ","mona"
"10",385,"2-Isopropylmalic acid ","mona"
"18",146,"3-hydroxy-C6-homoserine lactone ","mona"
"21",14621,"4'-ethenyl-2'-hydroxy-1,4',4a-trimethyl-5-oxospiro[2,3,4,7,8,8a-hexahydronaphthalene-6,1'-cyclopentane]-1-carboxylic acid ","mona"
"23",265,"4-HYDROXYBENZOATE ","mona"
"24",1266,"4-HYDROXYBENZOATE ","mona"
"28",4345,"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid ","mona"
"43",2243,"Gallic acid ","mona"
"46",10992,"KOBUSONE ","mona"
"63",70,"PYROCATECHUIC ACID ","mona"
"5",1041,"D-PANTOTHENIC ACID","nist17"
"8",480,"N-Acetyl-L-tyrosine","nist17"
"181",7080,"Ile-Ile","nist17"
"211",7021,"Folic acid","nist17"
"241",7109,"Phe-Trp","nist17"
