libraryName	SampleId	rawReads	filteredReads	sampleName	conditionNumber	Condition	BioRep	timepoint	sequencerType	runType	fileUsed	Run
BXNXO	150620	32067822	31101210	3mem_Bt_25hr_BR2	14	3mem	two	B-twf	HiSeq-2500 1TB	2x101	11765.4.217962.TCCGAGT-AACTCGG.filter-MICROTRANS.fastq.gz	11765.4.217962.TCCGAGT-AACTCGG.filter-MICROTRANS-genome
BXNXU	150624	39119378	37377676	3mem_Bt_45hr_BR2	18	3mem	two	F-frtf	HiSeq-2500 1TB	2x101	11765.4.217962.ACGGTCT-AAGACCG.filter-MICROTRANS.fastq.gz	11765.4.217962.ACGGTCT-AAGACCG.filter-MICROTRANS-genome
BXNWC	150601	43319566	39300948	3mem_Bt_30hr_BR1	15	3mem	one	C-thr	HiSeq-2500 1TB	2x101	11765.4.217962.ATAGCGG-ACCGCTA.filter-MICROTRANS.fastq.gz	11765.4.217962.ATAGCGG-ACCGCTA.filter-MICROTRANS-genome
BXNXH	150618	42195946	40402294	Bt_mono_40hr_BR1	23	Mono	one	E-frt	HiSeq-2500 1TB	2x101	11765.4.217962.GCTACGT-AACGTAG.filter-MICROTRANS.fastq.gz	11765.4.217962.GCTACGT-AACGTAG.filter-MICROTRANS-genome
BXNXZ	150628	36644404	33140386	2mem_Bt_Cv_40hr_BR2	5	Chromo	two	E-frt	HiSeq-2500 1TB	2x101	11765.4.217962.GTGAGCT-AAGCTCA.filter-MICROTRANS.fastq.gz	11765.4.217962.GTGAGCT-AAGCTCA.filter-MICROTRANS-genome
BXNWB	150600	49236120	46595882	3mem_Bt_25hr_BR1	14	3mem	one	B-twf	HiSeq-2500 1TB	2x101	11765.4.217962.GAGCTCA-TTGAGCT.filter-MICROTRANS.fastq.gz	11765.4.217962.GAGCTCA-TTGAGCT.filter-MICROTRANS-genome
BXNXX	150626	37694454	35621444	2mem_Bt_Cv_30hr_BR2	3	Chromo	two	C-thr	HiSeq-2500 1TB	2x101	11765.4.217962.GAACGCT-AAGCGTT.filter-MICROTRANS.fastq.gz	11765.4.217962.GAACGCT-AAGCGTT.filter-MICROTRANS-genome
BXNWO	150605	48438330	43093264	2mem_Bt_Cv_25hr_BR1	2	Chromo	one	B-twf	HiSeq-2500 1TB	2x101	11765.6.217984.CTGACAC-TGTGTCA.filter-MICROTRANS.fastq.gz	11765.6.217984.CTGACAC-TGTGTCA.filter-MICROTRANS-genome
BXNWH	150603	51066986	44319280	3mem_Bt_40hr_BR1	17	3mem	one	E-frt	HiSeq-2500 1TB	2x101	11765.5.217973.TACCAAC-GGTTGGT.filter-MICROTRANS.fastq.gz	11765.5.217973.TACCAAC-GGTTGGT.filter-MICROTRANS-genome
BXNWX	150611	43274668	40693596	2mem_Bt_Ps_30hr_BR1	9	Pseudo	one	C-thr	HiSeq-2500 1TB	2x101	11792.1.219881.ACGGAAC-TGTTCCG.filter-MICROTRANS.fastq.gz	11792.1.219881.ACGGAAC-TGTTCCG.filter-MICROTRANS-genome
