"","ID","Label","Database","InChI"
"1",1413,"Isopentenyladenine ","mona","InChI=1S/C10H13N5/c1-7(2)3-4-11-9-8-10(13-5-12-8)15-6-14-9/h3,5-6H,4H2,1-2H3,(H2,11,12,13,14,15)"
"4",19617,"4-Quinolinecarboxylic acid ","mona","InChI=1S/C10H7NO2/c12-10(13)8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,(H,12,13)"
"13",2070,"Adenine ","mona","InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"
"18",4603,"6-Quinolinol ","mona","InChI=1S/C9H7NO/c11-8-3-4-9-7(6-8)2-1-5-10-9/h1-6,11H"
"29",488,"N-.alpha.-Acetyl-L-ornithine","nist17","InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1"
"59",3712,"Spectral Match to Val-Leu from NIST14","nist17","InChI=1S/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)"
"78",1576,"Yersiniabactin","nist17","C[C@@]1(CSC(=N1)C(C)(C)[C@@H]([C@H]2CS[C@H](N2)[C@H]3CSC(=N3)c4ccccc4O)O)C(=O)O"
"120",3641,"Spectral Match to N-Acetyl-L-tyrosine from NIST14","nist17","InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1"
"125",1991,"N-Hexanoyl-DL-homoserine lactone","nist17","InChI=1S/C10H17NO3/c1-2-3-4-5-9(12)11-8-6-7-14-10(8)13/h8H,2-7H2,1H3,(H,11,12)"
"148",2478,"7-Keto-8-aminopelargonic acid","nist17","InChI=1S/C9H17NO3/c1-7(10)8(11)5-3-2-4-6-9(12)13/h7H,2-6,10H2,1H3,(H,12,13)/t7-/m0/s1"
"177",7841,"Spectral Match to Phe-Val from NIST14","nist17","InChI=1S/C14H20N2O3/c1-9(2)12(14(18)19)16-13(17)11(15)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)"
