"","ID","Label","Database","InChI"
"8",9224,"C8-homoserine lactone ","mona","InChI=1S/C12H21NO3/c1-2-3-4-5-6-7-11(14)13-10-8-9-16-12(10)15/h10H,2-9H2,1H3,(H,13,14)"
"24",285,"5'-METHYLTHIOADENOSINE","nist17","InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
"59",3712,"Spectral Match to Val-Leu from NIST14","nist17","InChI=1S/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)"
"65",3677,"Ile-Pro-Ile","nist17","InChI=1S/C17H31N3O4/c1-5-10(3)13(18)16(22)20-9-7-8-12(20)15(21)19-14(17(23)24)11(4)6-2/h10-14H,5-9,18H2,1-4H3,(H,19,21)(H,23,24)"
"177",7841,"Spectral Match to Phe-Val from NIST14","nist17","InChI=1S/C14H20N2O3/c1-9(2)12(14(18)19)16-13(17)11(15)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)"
"193",9173,"Burkholdac B","nist17"," "
"206",9216,"N-3-Hydroxyoctanoyl-L-homoserine lactone","nist17","InChI=1S/C12H21NO4/c1-2-3-4-5-9(14)8-11(15)13-10-6-7-17-12(10)16/h9-10,14H,2-8H2,1H3,(H,13,15)/t9?,10-/m0/s1"
"212",10834,"Myristoleic acid","nist17","InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-"
"236",9457,"(3-hydroxyheptadecenoyl)lysine","nist17"," "
"240",4611,"Pro-Phe-Arg","nist17","InChI=1S/C20H30N6O4/c21-20(22)24-11-5-9-15(19(29)30)25-18(28)16(12-13-6-2-1-3-7-13)26-17(27)14-8-4-10-23-14/h1-3,6-7,14-16,23H,4-5,8-12H2,(H,25,28)(H,26,27)(H,29,30)(H4,21,22,24)"
