inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
ZADOFOHGBCJSJA	InChI=1S/C6H10N3O4P/c10-14(11)5-12-2-6(13-14)1-9-4-7-3-8-9/h3-4,6H,1-2,5H2,(H,10,11)	C6H10N3O4P	1	-3006.7064001032772	""	C(C1COCP(=O)(O)O1)N2C=NC=N2	-1.98899996	""	PubChem:(11106849)
ZDWNUVIDGKSQBH	InChI=1S/C6H10N3O4P/c10-2-1-3-13-14(11,12)6-8-4-7-5-9-6/h4-5,10H,1-3H2,(H,11,12)	C6H10N3O4P	2	-3015.3534205105993	""	C(CO)COP(=O)(C1=NC=NC=N1)O	-2.66499996	""	PubChem:(54542023)
HONDKTSBXOHPBE	InChI=1S/C6H12N3O5P/c10-6(1-9-4-7-3-8-9)2-14-5-15(11,12)13/h3-4,6,10H,1-2,5H2,(H2,11,12,13)	C6H12N3O5P	3	-3016.7816964711387	Phosphonic acid, [[2-hydroxy-3-(1H-1,2,4-triazol-1-yl)propoxy]methyl]-	C(C(COCP(=O)(O)O)O)N1C=NC=N1	-3.00699997	""	PubChem:(44367766)
VHHNQBTUCUIPSU	InChI=1S/C6H12N3O5P/c1-5(10)2-14-6(15(11,12)13)9-4-7-3-8-9/h3-6,10H,2H2,1H3,(H2,11,12,13)	C6H12N3O5P	4	-3024.4932912225017	""	CC(COC(N1C=NC=N1)P(=O)(O)O)O	-2.41000009	""	PubChem:(54392020)
GQLMLZJBEKQVRM	InChI=1S/C6H10N3O4P/c7-5-1-2-9(6(11)8-5)3-14(12,13)4-10/h1-2,10H,3-4H2,(H,12,13)(H2,7,8,11)	C6H10N3O4P	5	-3027.9201388150655	(4-amino-2-oxopyrimidin-1-yl)methyl-(hydroxymethyl)phosphinic acid	C1=CN(CP(=O)(CO)O)C(=NC1=N)O	-1.24399996	""	PubChem:(11736117)
AEMIZEIPUKUFRK	InChI=1S/C6H10N3O4P/c10-14(11)4-12-2-5(13-14)1-6-7-3-8-9-6/h3,5H,1-2,4H2,(H,10,11)(H,7,8,9)	C6H10N3O4P	6	-3039.1745308466634	""	C(C1COCP(=O)(O)O1)C2=NNC=N2	-1.41400003	""	PubChem:(88341155)
ZVIRZJQJOOHZOL	InChI=1S/C6H10N3O4P/c1-12-14(11,13-2)8-6(10)9-4-5(9)3-7/h5H,4H2,1-2H3,(H,8,10,11)	C6H10N3O4P	7	-3041.235185968179	2-cyano-N-dimethoxyphosphorylaziridine-1-carboxamide	COP(=O)(N=C(N1CC1C#N)O)OC	-0.564999998	""	PubChem:(21161952)
RFZIEPLICLQJDV	InChI=1S/C6H10N3O4P/c7-3-1-5-10-12-14(9)13-11-6-2-4-8/h1-2,5-6,9H2	C6H10N3O4P	8	-3046.16652001042	""	C(C#N)COOP(N)OOCCC#N	-1.32299995	""	PubChem:(87459133)
GIEZSURULIZNTA	InChI=1S/C6H12N3O5P/c10-5(1-6-7-3-8-9-6)2-14-4-15(11,12)13/h3,5,10H,1-2,4H2,(H,7,8,9)(H2,11,12,13)	C6H12N3O5P	9	-3054.7934691289033	""	C(C(COCP(=O)(O)O)O)C1=NNC=N1	-2.43199992	""	PubChem:(67745689)
PCDNAOUGXCYIEE	InChI=1S/C6H12N3O5P/c10-4(1-2-15(12,13)14)5(11)6-7-3-8-9-6/h3-5,10-11H,1-2H2,(H,7,8,9)(H2,12,13,14)	C6H12N3O5P	10	-3058.1606796698998	""	C(CP(=O)(O)O)C(C(C1=NNC=N1)O)O	-1.86099994	""	PubChem:(101709788 101709789 101926800 101926801)
ZLFVBBVPGQTPPG	InChI=1S/C6H12N3O5P/c1-2-4(15(12,13)14)9(6(7)8)3-5(10)11/h2,4H,1,3H2,(H3,7,8)(H,10,11)(H2,12,13,14)	C6H12N3O5P	11	-3061.9710473870286	""	C=CC(N(CC(=O)O)C(=N)N)P(=O)(O)O	-3.5710001	""	PubChem:(87474382)
OHWWJFZFNDRJNH	InChI=1S/C6H12N3O5P/c1-2-7(1)10-15(13-14-15,11-8-3-4-8)12-9-5-6-9/h1-6H2	C6H12N3O5P	12	-3062.3204868059333	""	C1CN1OP2(ON3CC3)(ON4CC4)OO2	-1.46099997	""	PubChem:(87451637)
LARWBCLSMXMCMO	InChI=1S/C6H12N3O5P/c7-6-8(4-5(10)11)2-1-3-9(6)15(12,13)14/h7H,1-4H2,(H,10,11)(H2,12,13,14)	C6H12N3O5P	13	-3065.4739279827118	""	C1CN(CC(=O)O)C(=N)N(C1)P(=O)(O)O	-0.572000027	""	PubChem:(9794708)
AJGZFXSWOVIIOJ	InChI=1S/C6H12N3O5P/c1-4(7)9-2-5(6(8)10)3-14-15(11,12)13/h2H,3H2,1H3,(H2,7,9)(H2,8,10)(H2,11,12,13)	C6H12N3O5P	14	-3066.5588330297696	""	CC(=N)NC=C(COP(=O)(O)O)C(=N)O	-1.47599995	""	EcoCyc Mine
PKYFHKIYHBRTPI	InChI=1S/C6H10N3O4P/c1-4-8-2-5(6(7)9-4)3-13-14(10,11)12/h2H,3H2,1H3,(H2,7,8,9)(H2,10,11,12)	C6H10N3O4P	15	-3067.134205528339	4-amino-2-methyl-5-phosphomethylpyrimidine	CC1=NC=C(COP(=O)(O)O)C(=N)N1	-1.77199996	""	KNApSAcK:(7607);PubChem:(216 24971456 25244846);CHEBI:(18032 58354);KEGG:(C04556);biological;Plantcyc:(AMINO-HYDROXYMETHYL-METHYL-PYR-P);YMDB:(128)
HLNXNLBLULHCMV	InChI=1S/C6H10N3O4P/c1-5(3-7)10-12-14(9)13-11-6(2)4-8/h5-6H,9H2,1-2H3	C6H10N3O4P	16	-3069.560151237852	""	CC(C#N)OOP(N)OOC(C)C#N	-0.587000012	""	PubChem:(87550072)
WYRVGLXBUYQKNY	InChI=1S/C6H10N3O4P/c1-12-14(11,13-2)9-4-6(9,3-7)5(8)10/h4H2,1-2H3,(H2,8,10)	C6H10N3O4P	17	-3071.3803425200535	""	COP(=O)(N1CC1(C#N)C(=N)O)OC	-1.62	""	PubChem:(88769929)
FDRDGANWWUSZLJ	InChI=1S/C6H12N3O5P/c1-4(10)9-2-5(6(7)8)3-14-15(11,12)13/h2H,3H2,1H3,(H3,7,8)(H,9,10)(H2,11,12,13)	C6H12N3O5P	18	-3074.1391382970637	""	CC(=NC=C(COP(=O)(O)O)C(=N)N)O	-2.56399989	""	EcoCyc Mine
WRNVNPUKSMJQPN	InChI=1S/C6H12N3O5P/c7-6-8(2-1-5(10)11)3-4-9(6)15(12,13)14/h7H,1-4H2,(H,10,11)(H2,12,13,14)	C6H12N3O5P	19	-3075.127308092621	Homocyclocreatine-P	C(CN1CCN(C1=N)P(=O)(O)O)C(=O)O	-0.772000015	""	PubChem:(134825);biological
JXGILIGJBGOZGL	InChI=1S/C6H12N3O5P/c10-5(11)4-9-3-1-2-7-6(9)8-15(12,13)14/h1-4H2,(H,10,11)(H3,7,8,12,13,14)	C6H12N3O5P	20	-3076.870757223558	""	C1CN=C(NP(=O)(O)O)N(C1)CC(=O)O	-1.45299995	""	PubChem:(67839506)
NVJAOIMTUSXNQB	InChI=1S/C6H12N3O5P/c1-4(10)9-6(8)5(2-7)3-14-15(11,12)13/h2H,3,7H2,1H3,(H2,8,9,10)(H2,11,12,13)	C6H12N3O5P	21	-3077.517183836321	""	CC(=NC(=N)C(=CN)COP(=O)(O)O)O	-2.25300002	""	EcoCyc Mine
OIXPGEPPWAPMBG	InChI=1S/C6H10N3O4P/c10-6(5-7-3-8-9-5)1-4(2-6)14(11,12)13/h3-4,10H,1-2H2,(H,7,8,9)(H2,11,12,13)	C6H10N3O4P	22	-3079.5636741917933	""	C1C(CC1(C2=NNC=N2)O)P(=O)(O)O	-1.90900004	""	PubChem:(76316455)
VHUFCIYMIPSJOM	InChI=1S/C6H10N3O4P/c1-4-5(8-2-7-4)6(10)9-3-14(11,12)13/h2H,3H2,1H3,(H,7,8)(H,9,10)(H2,11,12,13)	C6H10N3O4P	23	-3079.5839095485517	Phosphonic acid, [[[(5-methyl-1H-imidazol-4-yl)carbonyl]amino]methyl]-	CC1=C(C(=NCP(=O)(O)O)O)NC=N1	-1.53699994	""	PubChem:(22280371)
UPINITOJJRUPKH	InChI=1S/C6H12N3O5P/c7-5(3-10)1-6-2-9(4-8-6)14-15(11,12)13/h2,4-5,10H,1,3,7H2,(H2,11,12,13)	C6H12N3O5P	24	-3081.4687166577883	[4-[(2S)-2-amino-3-hydroxypropyl]imidazol-1-yl] dihydrogen phosphate	C(C(CO)N)C1=CN(C=N1)OP(=O)(O)O	-3.33599997	""	PubChem:(22892794)
XBPKDNRGVXSJHQ	InChI=1S/C6H12N3O5P/c10-15(11,12)2-1-13-5-14-4-6-3-7-9-8-6/h3H,1-2,4-5H2,(H,7,8,9)(H2,10,11,12)	C6H12N3O5P	25	-3082.5166184646687	""	C(CP(=O)(O)O)OCOCC1=CN=NN1	-2.01799989	""	PubChem:(66891028)
XRMQVZJSEKPBAH	InChI=1S/C6H12N3O5P/c7-4(2-13-15(10,11)12)1-6-5(14-6)8-3-9-6/h3-5H,1-2,7H2,(H,8,9)(H2,10,11,12)	C6H12N3O5P	26	-3089.530798261844	""	C(C(COP(=O)(O)O)N)C12C(N=CN1)O2	-2.5769999	""	EcoCyc Mine;YMDB Mine;KEGG Mine
LPRGCEUBVMREQF	InChI=1S/C6H10N3O4P/c10-6(14(11,12)13)8-2-1-5-3-7-4-9-5/h3-4H,1-2H2,(H,7,9)(H,8,10)(H2,11,12,13)	C6H10N3O4P	27	-3091.2909560128273	2-(1H-imidazol-5-yl)ethylcarbamoylphosphonic acid	C(CN=C(O)P(=O)(O)O)C1=CN=CN1	-2.10100007	""	PubChem:(21961282)
NQIANDHXEMDQAT	InChI=1S/C6H12N3O5P/c7-4(3-14-15(11,12)13)1-5-2-8-6(10)9-5/h2,4H,1,3,7H2,(H2,8,9,10)(H2,11,12,13)	C6H12N3O5P	28	-3098.177638526023	""	C(C(COP(=O)(O)O)N)C1=CN=C(N1)O	-2.56299996	""	EcoCyc Mine;YMDB Mine;KEGG Mine
JKEQGOKFKVUPHY	InChI=1S/C6H12N3O5P/c1-4(5(10)11)8-2-3-9(6(8)7)15(12,13)14/h4,7H,2-3H2,1H3,(H,10,11)(H2,12,13,14)	C6H12N3O5P	29	-3100.292906238068	""	CC(C(=O)O)N1CCN(C1=N)P(=O)(O)O	-0.404000014	""	PubChem:(67841119)
UPNWQFQCJSSIDI	InChI=1S/C6H10N3O4P/c7-5(3-13-14(10,11)12)1-6-2-8-4-9-6/h1-2,4H,3,7H2,(H,8,9)(H2,10,11,12)	C6H10N3O4P	30	-3102.673589113703	""	C(=C(COP(=O)(O)O)N)C1=CN=CN1	-2.28800011	""	EcoCyc Mine;YMDB Mine;KEGG Mine
CQSQZYOKFIHVTO	InChI=1S/C6H12N3O5P/c1-6(2-3-15(12,13)14)4(9-11)7-5(10)8-6/h11H,2-3H2,1H3,(H2,12,13,14)(H2,7,8,9,10)	C6H12N3O5P	31	-3104.21525974637	""	CC1(CCP(=O)(O)O)C(=NC(=N1)O)NO	-1.98800004	""	PubChem:(87962303)
AJQYFMZOKYANTJ	InChI=1S/C6H12N3O5P/c10-9-6(3-14-15(11,12)13)1-5-2-7-4-8-5/h2,4,6,9-10H,1,3H2,(H,7,8)(H2,11,12,13)	C6H12N3O5P	32	-3108.5162730247152	""	C(C1=CN=CN1)C(COP(=O)(O)O)NO	-2.31299996	""	EcoCyc Mine;YMDB Mine;KEGG Mine
VJHLLKDVCSJYJH	InChI=1S/C6H12N3O5P/c7-4(2-14-15(11,12)13)6(10)5-1-8-3-9-5/h1,3-4,6,10H,2,7H2,(H,8,9)(H2,11,12,13)	C6H12N3O5P	33	-3110.9045696461117	""	C1=C(C(C(COP(=O)(O)O)N)O)NC=N1	-3.41300011	""	EcoCyc Mine;YMDB Mine;KEGG Mine
LOKSHCYRZMLHAN	InChI=1S/C6H12N3O5P/c7-4(2-14-15(11,12)13)1-5-6(10)9-3-8-5/h3-4,10H,1-2,7H2,(H,8,9)(H2,11,12,13)	C6H12N3O5P	34	-3112.9497663318843	""	C(C(COP(=O)(O)O)N)C1=C(NC=N1)O	-2.24900007	""	EcoCyc Mine;YMDB Mine;KEGG Mine
GWYNPOOFNJLIAH	InChI=1S/C6H12N3O5P/c7-5(1-4-2-8-3-9-4)6(10)14-15(11,12)13/h2-3,5-6,10H,1,7H2,(H,8,9)(H2,11,12,13)	C6H12N3O5P	35	-3118.67464651633	""	C(C1=CN=CN1)C(C(O)OP(=O)(O)O)N	-3.18400002	""	EcoCyc Mine;YMDB Mine;KEGG Mine
XYEPSQBZKHIMKQ	InChI=1S/C6H10N3O4P/c1-2-5(10)4-3-7-9-8-6(4)14(11,12)13/h3,5,10H,2H2,1H3,(H2,11,12,13)	C6H10N3O4P	36	-3121.594491778092	[5-(1-hydroxypropyl)triazin-4-yl]phosphonic acid	CCC(C1=C(N=NN=C1)P(=O)(O)O)O	-2.54900002	""	PubChem:(20256992)
HRDARJUESMZWAH	InChI=1S/C6H10N3O4P/c10-3-6(9-14(11,12)13)1-5-2-7-4-8-5/h2-4,6H,1H2,(H,7,8)(H3,9,11,12,13)	C6H10N3O4P	37	-3126.8738241329606	""	C(C1=CN=CN1)C(C=O)NP(=O)(O)O	-2.20700002	""	PubChem:(54016611)
HCDPBORELVACKK	InChI=1S/C6H12N3O5P/c7-6(8-15(12,13)14)9-3-1-2-4(9)5(10)11/h4H,1-3H2,(H,10,11)(H4,7,8,12,13,14)	C6H12N3O5P	38	-3188.4606281977367	1-[(E)-N''-phosphonocarbamimidoyl]pyrrolidine-2-carboxylic acid	C1CC(C(=O)O)N(C1)C(=N)NP(=O)(O)O	-0.79400003	""	PubChem:(9921065 23376718 70199956)
GNKDTLLGYIDVOW	InChI=1S/C6H10N3O4P/c7-3-1-4(10)6(5(11)2-3)9-14(8,12)13/h1-2,10-11H,7H2,(H4,8,9,12,13)/p-1	C6H10N3O4P	39	-3239.961880670544	amino-(4-amino-2,6-dihydroxyanilino)phosphinate	C1=C(C(=C(C=C1N)O)NP(=O)(N)O)O	-0.917999983	""	PubChem:(20283820 20283821)
