ID,Label,Database,InChI
1413,Isopentenyladenine ,mona,"InChI=1S/C10H13N5/c1-7(2)3-4-11-9-8-10(13-5-12-8)15-6-14-9/h3,5-6H,4H2,1-2H3,(H2,11,12,13,14,15)"
19067,Amantadine ,mona,"InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2"
2068,DETHIOBIOTIN ,mona,"InChI=1S/C10H18N2O3/c1-7-8(12-10(15)11-7)5-3-2-4-6-9(13)14/h7-8H,2-6H2,1H3,(H,13,14)(H2,11,12,15)"
19617,4-Quinolinecarboxylic acid ,mona,"InChI=1S/C10H7NO2/c12-10(13)8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,(H,12,13)"
9494,Quinaldic acid ,mona,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)"
9211,Quinaldic acid ,mona,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)"
24371,Diphenylamine ,mona,"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H"
9224,C8-homoserine lactone ,mona,"InChI=1S/C12H21NO3/c1-2-3-4-5-6-7-11(14)13-10-8-9-16-12(10)15/h10H,2-9H2,1H3,(H,13,14)"
22315,Tetrahydrozoline HCl ,mona,"InChI=1S/C13H16N2.ClH/c1-2-6-11-10(4-1)5-3-7-12(11)13-14-8-9-15-13;/h1-2,4,6,12H,3,5,7-9H2,(H,14,15);1H"
24801,Dehydroabietamide ,mona,"InChI=1S/C20H29NO/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h6,8,12-13,17H,5,7,9-11H2,1-4H3,(H2,21,22)"
10147,Cer-NP t32:0 ,mona,"InChI=1S/C32H65NO4/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-31(36)33-29(28-34)32(37)30(35)26-24-22-20-18-16-14-12-10-8-6-4-2/h29-30,32,34-35,37H,3-28H2,1-2H3,(H,33,36)"
3703,Hypoxanthine ,mona,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"
2070,Adenine ,mona,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"
3345,PYRIDOXAMINE ,mona,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3"
9844,"N-(2,4-dimethylphenyl)formamide ",mona,"InChI=1S/C9H11NO/c1-7-3-4-9(10-6-11)8(2)5-7/h3-6H,1-2H3,(H,10,11)"
3248,Coumarin ,mona,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H
10747,6-Quinolinol ,mona,"InChI=1S/C9H7NO/c11-8-3-4-9-7(6-8)2-1-5-10-9/h1-6,11H"
4603,6-Quinolinol ,mona,"InChI=1S/C9H7NO/c11-8-3-4-9-7(6-8)2-1-5-10-9/h1-6,11H"
14411,Spectral Match to N-Acetyl-L-glutamic acid from NIST14,nist17,N/A
2370,.gamma.-Dodecalactone,nist17,"InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-11-9-10-12(13)14-11/h11H,2-10H2,1H3"
30887,16-Hydroxyhexadecanoic acid,nist17,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)"
74,"Spectral Match to .beta.-D-Glucopyranose, 1,6-anhydro- from NIST14",nist17,N/A
24473,Oleic acid,nist17,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-"
285,5'-METHYLTHIOADENOSINE,nist17,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
736,Dioctyl phthalate,nist17,"InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3"
334,Methyl trans-vaccenate,nist17,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h8-9H,3-7,10-18H2,1-2H3/b9-8+"
9486,5'-S-Methyl-5'-thioadenosine,nist17,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1"
1031,Linoleoylglycine,nist17,"InChI=1S/C20H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(22)21-18-20(23)24/h6-7,9-10H,2-5,8,11-18H2,1H3,(H,21,22)(H,23,24)/b7-6-,10-9-"
488,N-.alpha.-Acetyl-L-ornithine,nist17,"InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1"
24349,Spectral Match to N-Acetyl-L-glutamic acid from NIST14,nist17,N/A
1902,N-Capryloyl-DL-homoserine lactone,nist17,"InChI=1S/C12H21NO3/c1-2-3-4-5-6-7-11(14)13-10-8-9-16-12(10)15/h10H,2-9H2,1H3,(H,13,14)"
169,N-Hexanoyl-DL-homoserine lactone,nist17,"InChI=1S/C10H17NO3/c1-2-3-4-5-9(12)11-8-6-7-14-10(8)13/h8H,2-7H2,1H3,(H,11,12)"
4019,N-Lauroylsarcosine,nist17,"InChI=1S/C15H29NO3/c1-3-4-5-6-7-8-9-10-11-12-14(17)16(2)13-15(18)19/h3-13H2,1-2H3,(H,18,19)"
9382,Spectral Match to Decaethylene glycol from NIST14,nist17,N/A
